controller,scenario,seed,steps,average_queue,average_waiting_time,average_speed,delay_proxy,throughput,stops,signal_switches
fixed,normal,100,400,2.9081,589.7373,13.1222,592.6453,0,606,13
actuated,normal,100,400,2.9081,589.7373,13.1222,592.6453,0,606,13
fixed,normal,101,400,2.8976,588.4101,13.1235,591.3076,0,605,13
actuated,normal,101,400,2.8976,588.4101,13.1235,591.3076,0,605,13
fixed,heterogeneous,100,400,5.2971,1082.0916,12.8116,1087.3886,0,682,13
actuated,heterogeneous,100,400,4.9908,1010.233,12.8514,1015.2238,26,670,13
fixed,heterogeneous,101,400,5.248,1072.9533,12.818,1078.2012,0,677,13
actuated,heterogeneous,101,400,4.9808,1010.1111,12.8527,1015.0918,24,665,13
fixed,heavy,100,400,22.5685,3576.2288,10.5661,3598.7974,0,786,13
actuated,heavy,100,400,18.3159,3119.9388,11.1188,3138.2547,128,786,13
fixed,heavy,101,400,22.6256,3586.0219,10.5585,3608.6475,0,786,13
actuated,heavy,101,400,18.3015,3109.7645,11.1209,3128.0661,128,786,13
